iPhone XS Max,Phone,177g,,32 GB,Apple A13 Bionic,5.8,White,2020-08-06,1515
iPhone 12 Pro Max,Phone,228g,1828 mAh,32 GB,Apple A13 Bionic,6.5,Gold,2020-05-23,1379
iPhone XR,Phone,164g,,64 GB,Apple A12 Bionic,6.5,Blue,2020-07-27,1379
iPhone 11 Pro Max,Phone,228g,2658 mAh,64 GB,Apple A12 Bionic,5.8,White,2020-05-08,1515
iPhone 12,Phone,164g,,512 GB,Apple A14 Bionic,6.5,White,2020-03-21,1199
iPhone XR,Phone,189g,1828 mAh,64 GB,Apple A13 Bionic,5.8,Black,2020-08-13,929
iPhone XS,Phone,228g,1828 mAh,256 GB,Apple A14 Bionic,5.4,White,2020-10-17,679
iPhone 12 Mini,Phone,164g,2775 mAh,256 GB,Apple A14 Bionic,6.5,Black,2020-08-18,925
iPhone 11,Phone,177g,2658 mAh,512 GB,Apple A12 Bionic,5.8,Red,2020-10-25,925
iPhone 11 Pro,Phone,189g,,32 GB,Apple A14 Bionic,5.8,Gold,2020-08-18,599
iPhone XR,Phone,228g,3190 mAh,64 GB,Apple A13 Bionic,6.1,Gold,2020-11-20,929
iPhone 12,Phone,164g,1828 mAh,512 GB,Apple A14 Bionic,5.8,Green,2020-08-04,709
iPhone 12 Pro Max,Phone,189g,1828 mAh,32 GB,Apple A12 Bionic,6.1,Red,2020-09-18,995
iPhone XR,Phone,189g,3190 mAh,256 GB,Apple A13 Bionic,4.7,Green,2020-05-13,1199
iPhone 11 Pro,Phone,228g,2775 mAh,512 GB,Apple A12 Bionic,5.4,Gold,2020-03-02,949
iPhone XS Max,Phone,228g,,256 GB,Apple A14 Bionic,6.7,White,2020-11-22,949
iPhone 11,Phone,164g,2658 mAh,256 GB,Apple A14 Bionic,6.1,Black,2020-11-23,1379
iPhone XR,Phone,189g,1828 mAh,256 GB,Apple A14 Bionic,5.4,Black,2020-10-27,639
iPhone SE,Phone,164g,2775 mAh,32 GB,Apple A12 Bionic,6.7,Red,2020-06-28,1515
iPhone 12 Mini,Phone,228g,1828 mAh,256 GB,Apple A14 Bionic,5.8,White,2020-04-27,1639
iPhone 11 Pro,Phone,228g,2775 mAh,256 GB,Apple A12 Bionic,6.1,Red,2020-06-08,709
iPhone XR,Phone,177g,,256 GB,Apple A13 Bionic,4.7,Blue,2020-03-26,925
iPhone XS Max,Phone,189g,2775 mAh,256 GB,Apple A12 Bionic,6.1,Gold,2020-02-27,949
iPhone 12 Mini,Phone,228g,2658 mAh,32 GB,Apple A12 Bionic,6.1,Green,2020-07-03,1379
iPhone 12 Mini,Phone,189g,,256 GB,Apple A13 Bionic,5.4,Green,2020-04-13,1639
iPhone 12 Pro,Phone,177g,3190 mAh,64 GB,Apple A13 Bionic,5.8,Blue,2020-02-02,709
iPhone 12 Mini,Phone,177g,,512 GB,Apple A12 Bionic,5.8,Gold,2020-04-14,699
iPhone 12,Phone,177g,3190 mAh,64 GB,Apple A14 Bionic,6.7,Blue,2020-05-23,709
iPhone 12 Mini,Phone,228g,1828 mAh,32 GB,Apple A14 Bionic,5.8,Red,2020-07-27,1639
iPhone 11 Pro Max,Phone,164g,2658 mAh,256 GB,Apple A13 Bionic,5.4,Blue,2020-05-02,1379
iPhone 11 Pro,Phone,228g,2658 mAh,256 GB,Apple A12 Bionic,6.1,Gold,2020-05-24,599
iPhone 12 Pro Max,Phone,177g,,256 GB,Apple A13 Bionic,4.7,Red,2020-11-09,1449
iPhone 11 Pro,Phone,177g,2775 mAh,32 GB,Apple A12 Bionic,5.8,Black,2020-03-10,1449
iPhone 11 Pro,Phone,189g,1828 mAh,64 GB,Apple A12 Bionic,6.7,Gold,2020-09-21,1379
iPhone XR,Phone,177g,,64 GB,Apple A12 Bionic,6.5,Red,2020-07-16,639
iPhone XR,Phone,177g,,256 GB,Apple A12 Bionic,6.7,Black,2020-09-23,599
iPhone 12 Mini,Phone,177g,2775 mAh,32 GB,Apple A13 Bionic,5.4,Green,2020-07-25,1379
iPhone XS Max,Phone,228g,1828 mAh,32 GB,Apple A12 Bionic,6.7,Green,2020-06-20,949
iPhone 12 Mini,Phone,228g,2658 mAh,512 GB,Apple A13 Bionic,6.7,Blue,2020-05-04,709
iPhone XS,Phone,228g,1828 mAh,32 GB,Apple A12 Bionic,6.5,White,2020-03-26,709
iPhone 11 Pro,Phone,164g,,256 GB,Apple A13 Bionic,6.1,Green,2020-10-20,639
iPhone XR,Phone,177g,2658 mAh,512 GB,Apple A14 Bionic,5.8,Gold,2020-02-23,699
iPhone 11,Phone,164g,,512 GB,Apple A14 Bionic,6.7,Blue,2020-04-03,1449
iPhone XR,Phone,164g,1828 mAh,64 GB,Apple A12 Bionic,5.4,Blue,2020-09-27,679
iPhone 12 Mini,Phone,228g,,32 GB,Apple A14 Bionic,6.7,Green,2020-03-13,1379
iPhone SE,Phone,189g,2658 mAh,512 GB,Apple A14 Bionic,5.8,Green,2020-03-06,849
iPhone 12 Mini,Phone,228g,3190 mAh,32 GB,Apple A13 Bionic,4.7,Blue,2020-01-24,849
iPhone XS Max,Phone,177g,2775 mAh,64 GB,Apple A14 Bionic,4.7,Gold,2020-03-18,1639
iPhone 12 Pro Max,Phone,177g,3190 mAh,512 GB,Apple A13 Bionic,4.7,Gold,2020-04-23,1199
iPhone 11 Pro Max,Phone,164g,2775 mAh,512 GB,Apple A12 Bionic,6.1,Green,2020-05-25,1449
iPhone SE,Phone,164g,2658 mAh,64 GB,Apple A12 Bionic,5.8,Green,2020-06-15,995
iPhone 12 Pro,Phone,189g,2658 mAh,256 GB,Apple A14 Bionic,6.5,Red,2020-06-18,1515
iPhone XS Max,Phone,189g,,64 GB,Apple A12 Bionic,5.8,White,2020-09-03,949
iPhone 11 Pro,Phone,228g,2658 mAh,64 GB,Apple A13 Bionic,6.1,Black,2020-08-02,709
iPhone 11 Pro Max,Phone,177g,1828 mAh,32 GB,Apple A14 Bionic,4.7,Red,2020-05-08,1199
iPhone 12 Mini,Phone,228g,1828 mAh,32 GB,Apple A12 Bionic,6.1,Blue,2020-07-25,1199
iPhone 12 Mini,Phone,228g,2775 mAh,64 GB,Apple A14 Bionic,5.4,Black,2020-08-25,599
iPhone XS Max,Phone,164g,2775 mAh,512 GB,Apple A12 Bionic,4.7,Red,2020-05-11,639
iPhone XS,Phone,189g,2775 mAh,32 GB,Apple A12 Bionic,6.1,Blue,2020-06-17,1639
iPhone 12 Pro Max,Phone,164g,3190 mAh,512 GB,Apple A12 Bionic,6.5,Black,2020-01-28,679
iPhone XR,Phone,189g,2775 mAh,64 GB,Apple A14 Bionic,6.1,Blue,2020-03-13,1379
iPhone 12 Pro Max,Phone,189g,2775 mAh,64 GB,Apple A13 Bionic,6.1,Red,2020-11-10,699
iPhone 12 Pro,Phone,228g,1828 mAh,512 GB,Apple A14 Bionic,4.7,Gold,2020-07-21,1379
iPhone 12,Phone,189g,3190 mAh,256 GB,Apple A13 Bionic,5.4,Gold,2020-01-29,1449
iPhone 11,Phone,177g,1828 mAh,256 GB,Apple A13 Bionic,5.8,Gold,2020-06-19,929
iPhone 11 Pro,Phone,189g,,256 GB,Apple A13 Bionic,5.8,Black,2020-04-06,1199
iPhone 11 Pro Max,Phone,177g,3190 mAh,512 GB,Apple A13 Bionic,6.7,Red,2020-03-17,1639
iPhone 11 Pro,Phone,177g,3190 mAh,512 GB,Apple A14 Bionic,6.5,Green,2020-05-25,639
iPhone XR,Phone,164g,2775 mAh,256 GB,Apple A12 Bionic,6.5,Black,2020-04-03,1199
iPhone 11 Pro,Phone,189g,2775 mAh,64 GB,Apple A13 Bionic,5.8,Black,2020-05-24,1379
iPhone XR,Phone,189g,,64 GB,Apple A14 Bionic,6.1,Red,2020-08-20,1515
iPhone 12 Pro Max,Phone,228g,2775 mAh,512 GB,Apple A12 Bionic,6.1,Gold,2020-04-01,699
iPhone SE,Phone,228g,,256 GB,Apple A14 Bionic,6.7,Red,2020-08-07,639
iPhone 11 Pro,Phone,189g,,64 GB,Apple A13 Bionic,5.4,Green,2020-06-29,1449
iPhone 12 Pro,Phone,228g,3190 mAh,32 GB,Apple A12 Bionic,6.7,Blue,2020-03-09,1379
iPhone 12 Mini,Phone,189g,2658 mAh,256 GB,Apple A12 Bionic,5.4,White,2020-05-14,1199
iPhone SE,Phone,164g,1828 mAh,64 GB,Apple A14 Bionic,6.7,Green,2020-01-22,995
iPhone SE,Phone,164g,2658 mAh,512 GB,Apple A12 Bionic,5.8,Black,2020-05-12,599
iPhone 12,Phone,228g,3190 mAh,32 GB,Apple A13 Bionic,6.5,Blue,2020-03-15,925
iPhone XS,Phone,228g,1828 mAh,64 GB,Apple A14 Bionic,6.1,Black,2020-06-19,1449
iPhone 12 Pro Max,Phone,177g,2658 mAh,32 GB,Apple A14 Bionic,5.4,Gold,2020-07-05,1449
iPhone 11,Phone,228g,2658 mAh,32 GB,Apple A13 Bionic,6.7,White,2020-03-14,995
iPhone 12 Mini,Phone,164g,3190 mAh,512 GB,Apple A13 Bionic,5.4,Black,2020-10-02,849
iPhone 11 Pro Max,Phone,228g,2775 mAh,64 GB,Apple A12 Bionic,6.7,Gold,2020-07-05,1199
iPhone XS Max,Phone,189g,,32 GB,Apple A13 Bionic,5.4,Black,2020-01-26,599
iPhone 12 Pro Max,Phone,164g,1828 mAh,64 GB,Apple A13 Bionic,6.7,Black,2020-02-05,1639
iPhone 11,Phone,189g,3190 mAh,256 GB,Apple A14 Bionic,4.7,Green,2020-03-15,925
iPhone XR,Phone,164g,2658 mAh,256 GB,Apple A14 Bionic,6.5,Gold,2020-08-29,1449
iPhone SE,Phone,189g,1828 mAh,512 GB,Apple A13 Bionic,5.4,Gold,2020-06-17,1515
